xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL
34.5	35.5	35 9	itération	35	itération	9	1
35.5	36.5	36 9	itération	36	itération	9	1
36.5	37.5	37 9	itération	37	itération	9	1
37.5	38.5	38 9	itération	38	itération	9	1
38.5	39.5	39 9	itération	39	itération	9	1
39.5	40.5	40 9	itération	40	itération	9	1
-0.5	0.5	0 10	itération	0	itération	10	1
0.5	1.5	1 10	itération	1	itération	10	1
1.5	2.5	2 10	itération	2	itération	10	1
2.5	3.5	3 10	itération	3	itération	10	1
3.5	4.5	4 10	itération	4	itération	10	1
4.5	5.5	5 10	itération	5	itération	10	1
5.5	6.5	6 10	itération	6	itération	10	1
6.5	7.5	7 10	itération	7	itération	10	1
7.5	8.5	8 10	itération	8	itération	10	1
8.5	9.5	9 10	itération	9	itération	10	1
9.5	10.5	1	itération	10	itération	10	1
10.5	11.5	11 10	itération	11	itération	10	1
11.5	12.5	12 10	itération	12	itération	10	1
12.5	13.5	13 10	itération	13	itération	10	1
13.5	14.5	14 10	itération	14	itération	10	1
14.5	15.5	15 10	itération	15	itération	10	1
15.5	16.5	16 10	itération	16	itération	10	1
16.5	17.5	17 10	itération	17	itération	10	1
17.5	18.5	18 10	itération	18	itération	10	1
18.5	19.5	19 10	itération	19	itération	10	1
19.5	20.5	20 10	itération	20	itération	10	1
20.5	21.5	21 10	itération	21	itération	10	1
21.5	22.5	22 10	itération	22	itération	10	1
22.5	23.5	23 10	itération	23	itération	10	1
23.5	24.5	24 10	itération	24	itération	10	1
24.5	25.5	25 10	itération	25	itération	10	1
25.5	26.5	26 10	itération	26	itération	10	1
26.5	27.5	27 10	itération	27	itération	10	1
27.5	28.5	28 10	itération	28	itération	10	1
28.5	29.5	29 10	itération	29	itération	10	1
29.5	30.5	30 10	itération	30	itération	10	1
30.5	31.5	31 10	itération	31	itération	10	1
31.5	32.5	32 10	itération	32	itération	10	1
32.5	33.5	33 10	itération	33	itération	10	1
33.5	34.5	34 10	itération	34	itération	10	1
34.5	35.5	35 10	itération	35	itération	10	1
35.5	36.5	36 10	itération	36	itération	10	1
36.5	37.5	37 10	itération	37	itération	10	1
37.5	38.5	38 10	itération	38	itération	10	1
38.5	39.5	39 10	itération	39	itération	10	1
39.5	40.5	40 10	itération	40	itération	10	1
-0.5	0.5	0 11	itération	0	itération	11	1
0.5	1.5	1 11	itération	1	itération	11	1
1.5	2.5	2 11	itération	2	itération	11	1
2.5	3.5	3 11	itération	3	itération	11	1
3.5	4.5	4 11	itération	4	itération	11	1
4.5	5.5	5 11	itération	5	itération	11	1
5.5	6.5	6 11	itération	6	itération	11	1
6.5	7.5	7 11	itération	7	itération	11	1
7.5	8.5	8 11	itération	8	itération	11	1
8.5	9.5	9 11	itération	9	itération	11	1
9.5	10.5	10 11	itération	10	itération	11	1
10.5	11.5	1	itération	11	itération	11	1
11.5	12.5	12 11	itération	12	itération	11	1
12.5	13.5	13 11	itération	13	itération	11	1
13.5	14.5	14 11	itération	14	itération	11	1
14.5	15.5	15 11	itération	15	itération	11	1
15.5	16.5	16 11	itération	16	itération	11	1
16.5	17.5	17 11	itération	17	itération	11	1
17.5	18.5	18 11	itération	18	itération	11	1
18.5	19.5	19 11	itération	19	itération	11	1
19.5	20.5	20 11	itération	20	itération	11	1
20.5	21.5	21 11	itération	21	itération	11	1
21.5	22.5	22 11	itération	22	itération	11	1
22.5	23.5	23 11	itération	23	itération	11	1
23.5	24.5	24 11	itération	24	itération	11	1
24.5	25.5	25 11	itération	25	itération	11	1
25.5	26.5	26 11	itération	26	itération	11	1
26.5	27.5	27 11	itération	27	itération	11	1
27.5	28.5	28 11	itération	28	itération	11	1
28.5	29.5	29 11	itération	29	itération	11	1
29.5	30.5	30 11	itération	30	itération	11	1
30.5	31.5	31 11	itération	31	itération	11	1
31.5	32.5	32 11	itération	32	itération	11	1
32.5	33.5	33 11	itération	33	itération	11	1
33.5	34.5	34 11	itération	34	itération	11	1
34.5	35.5	35 11	itération	35	itération	11	1
35.5	36.5	36 11	itération	36	itération	11	1
36.5	37.5	37 11	itération	37	itération	11	1
37.5	38.5	38 11	itération	38	itération	11	1
38.5	39.5	39 11	itération	39	itération	11	1
39.5	40.5	40 11	itération	40	itération	11	1
-0.5	0.5	0 12	itération	0	itération	12	1
0.5	1.5	1 12	itération	1	itération	12	1
1.5	2.5	2 12	itération	2	itération	12	1
2.5	3.5	3 12	itération	3	itération	12	1
3.5	4.5	4 12	itération	4	itération	12	1
4.5	5.5	5 12	itération	5	itération	12	1
5.5	6.5	6 12	itération	6	itération	12	1
6.5	7.5	7 12	itération	7	itération	12	1
7.5	8.5	8 12	itération	8	itération	12	1
8.5	9.5	9 12	itération	9	itération	12	1
9.5	10.5	10 12	itération	10	itération	12	1
10.5	11.5	11 12	itération	11	itération	12	1
11.5	12.5	1	itération	12	itération	12	1
12.5	13.5	13 12	itération	13	itération	12	1
13.5	14.5	14 12	itération	14	itération	12	1
14.5	15.5	15 12	itération	15	itération	12	1
15.5	16.5	16 12	itération	16	itération	12	1
16.5	17.5	17 12	itération	17	itération	12	1
17.5	18.5	18 12	itération	18	itération	12	1
18.5	19.5	19 12	itération	19	itération	12	1
19.5	20.5	20 12	itération	20	itération	12	1
20.5	21.5	21 12	itération	21	itération	12	1
21.5	22.5	22 12	itération	22	itération	12	1
22.5	23.5	23 12	itération	23	itération	12	1
23.5	24.5	24 12	itération	24	itération	12	1
24.5	25.5	25 12	itération	25	itération	12	1
25.5	26.5	26 12	itération	26	itération	12	1
26.5	27.5	27 12	itération	27	itération	12	1
27.5	28.5	28 12	itération	28	itération	12	1
28.5	29.5	29 12	itération	29	itération	12	1
29.5	30.5	30 12	itération	30	itération	12	1
30.5	31.5	31 12	itération	31	itération	12	1
31.5	32.5	32 12	itération	32	itération	12	1
32.5	33.5	33 12	itération	33	itération	12	1
33.5	34.5	34 12	itération	34	itération	12	1
34.5	35.5	35 12	itération	35	itération	12	1
35.5	36.5	36 12	itération	36	itération	12	1
36.5	37.5	37 12	itération	37	itération	12	1
37.5	38.5	38 12	itération	38	itération	12	1
38.5	39.5	39 12	itération	39	itération	12	1
39.5	40.5	40 12	itération	40	itération	12	1
-0.5	0.5	0 13	itération	0	itération	13	1
0.5	1.5	1 13	itération	1	itération	13	1
1.5	2.5	2 13	itération	2	itération	13	1
2.5	3.5	3 13	itération	3	itération	13	1
3.5	4.5	4 13	itération	4	itération	13	1
4.5	5.5	5 13	itération	5	itération	13	1
5.5	6.5	6 13	itération	6	itération	13	1
6.5	7.5	7 13	itération	7	itération	13	1
7.5	8.5	8 13	itération	8	itération	13	1
8.5	9.5	9 13	itération	9	itération	13	1
9.5	10.5	10 13	itération	10	itération	13	1
10.5	11.5	11 13	itération	11	itération	13	1
11.5	12.5	12 13	itération	12	itération	13	1
12.5	13.5	1	itération	13	itération	13	1
13.5	14.5	14 13	itération	14	itération	13	1
14.5	15.5	15 13	itération	15	itération	13	1
15.5	16.5	16 13	itération	16	itération	13	1
16.5	17.5	17 13	itération	17	itération	13	1
17.5	18.5	18 13	itération	18	itération	13	1
18.5	19.5	19 13	itération	19	itération	13	1
19.5	20.5	20 13	itération	20	itération	13	1
20.5	21.5	21 13	itération	21	itération	13	1
21.5	22.5	22 13	itération	22	itération	13	1
22.5	23.5	23 13	itération	23	itération	13	1
23.5	24.5	24 13	itération	24	itération	13	1
24.5	25.5	25 13	itération	25	itération	13	1
25.5	26.5	26 13	itération	26	itération	13	1
26.5	27.5	27 13	itération	27	itération	13	1
27.5	28.5	28 13	itération	28	itération	13	1
28.5	29.5	29 13	itération	29	itération	13	1
29.5	30.5	30 13	itération	30	itération	13	1
30.5	31.5	31 13	itération	31	itération	13	1
31.5	32.5	32 13	itération	32	itération	13	1
32.5	33.5	33 13	itération	33	itération	13	1
33.5	34.5	34 13	itération	34	itération	13	1
34.5	35.5	35 13	itération	35	itération	13	1
35.5	36.5	36 13	itération	36	itération	13	1
36.5	37.5	37 13	itération	37	itération	13	1
37.5	38.5	38 13	itération	38	itération	13	1
38.5	39.5	39 13	itération	39	itération	13	1
39.5	40.5	40 13	itération	40	itération	13	1
